CODICE REGIONE,CODICE COMUNE ISTAT,DENOMINAZIONE COMUNE,REGIONE,PROVINCIA,SIGLA AUTOMOBILISTICA,ANNO,POPOLAZIONE
190,087056,Mazzarrone,Sicilia,Catania,CT,2024,3987
190,087057,Maniace,Sicilia,Catania,CT,2024,3758
190,087058,Ragalna,Sicilia,Catania,CT,2024,4216
190,088001,Acate,Sicilia,Ragusa,RG,2024,10458
190,088002,Chiaramonte Gulfi,Sicilia,Ragusa,RG,2024,8019
190,088003,Comiso,Sicilia,Ragusa,RG,2024,30092
190,088004,Giarratana,Sicilia,Ragusa,RG,2024,2907
190,088005,Ispica,Sicilia,Ragusa,RG,2024,16386
190,088006,Modica,Sicilia,Ragusa,RG,2024,53442
190,088007,Monterosso Almo,Sicilia,Ragusa,RG,2024,2753
190,088008,Pozzallo,Sicilia,Ragusa,RG,2024,18900
190,088009,Ragusa,Sicilia,Ragusa,RG,2024,73684
190,088010,Santa Croce Camerina,Sicilia,Ragusa,RG,2024,11155
190,088011,Scicli,Sicilia,Ragusa,RG,2024,26786
190,088012,Vittoria,Sicilia,Ragusa,RG,2024,64678
190,089001,Augusta,Sicilia,Siracusa,SR,2024,34618
190,089002,Avola,Sicilia,Siracusa,SR,2024,30506
190,089003,Buccheri,Sicilia,Siracusa,SR,2024,1725
190,089004,Buscemi,Sicilia,Siracusa,SR,2024,949
190,089005,Canicattini Bagni,Sicilia,Siracusa,SR,2024,6488
190,089006,Carlentini,Sicilia,Siracusa,SR,2024,17029
190,089007,Cassaro,Sicilia,Siracusa,SR,2024,719
190,089008,Ferla,Sicilia,Siracusa,SR,2024,2259
190,089009,Floridia,Sicilia,Siracusa,SR,2024,21243
190,089010,Francofonte,Sicilia,Siracusa,SR,2024,11676
190,089011,Lentini,Sicilia,Siracusa,SR,2024,21423
190,089012,Melilli,Sicilia,Siracusa,SR,2024,13184
190,089013,Noto,Sicilia,Siracusa,SR,2024,24572
190,089014,Pachino,Sicilia,Siracusa,SR,2024,21826
190,089015,Palazzolo Acreide,Sicilia,Siracusa,SR,2024,8049
190,089016,Rosolini,Sicilia,Siracusa,SR,2024,20580
190,089017,Siracusa,Sicilia,Siracusa,SR,2024,116051
190,089018,Solarino,Sicilia,Siracusa,SR,2024,7536
190,089019,Sortino,Sicilia,Siracusa,SR,2024,8147
190,089020,Portopalo di Capo Passero,Sicilia,Siracusa,SR,2024,3826
190,089021,Priolo Gargallo,Sicilia,Siracusa,SR,2024,11198
