"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"083029","Gaggi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3082,"e","dato stimato"
"086010","Gagliano Castelferrato","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3201,"e","dato stimato"
"083030","Galati Mamertino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2211,"e","dato stimato"
"083031","Gallodoro","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",324,"e","dato stimato"
"082036","Gangi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",6013,"e","dato stimato"
"083032","Giardini-Naxos","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",9315,"e","dato stimato"
"088004","Giarratana","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2907,"e","dato stimato"
"087017","Giarre","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",26520,"e","dato stimato"
"081010","Gibellina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3684,"e","dato stimato"
"083033","Gioiosa Marea","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",6766,"e","dato stimato"
"082039","Giuliana","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1672,"e","dato stimato"
"082040","Godrano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1019,"e","dato stimato"
"087018","Grammichele","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",12405,"e","dato stimato"
"083034","Graniti","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1453,"e","dato stimato"
"087019","Gravina di Catania","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",25292,"e","dato stimato"
"084018","Grotte","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5140,"e","dato stimato"
"083035","Gualtieri Sicaminò","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1555,"e","dato stimato"
"083036","Itala","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1491,"e","dato stimato"
"084019","Joppolo Giancaxio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1061,"e","dato stimato"
"084020","Lampedusa e Linosa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",6538,"e","dato stimato"
